Issue Type,Summary,Description,Epic,Priority,Component,Flag,Story Points,Acceptance Criteria
Epic,Admin/Course Foundation,"Unified course offering, capacity, prerequisite graph, registration checks. No breaking.",COURSE-FOUNDATION,High,Course,,,
Story,COURSE-1 - Feature flags + VIEW for offerings,"Add src/lib/feature-flags.ts (4 flags false) + VIEW courseOfferings (courseId,deptId,level,semester,capacity,enrolledCount) + courseLessons.versions JSON nullable. No table drop.",COURSE-FOUNDATION,High,Course,COURSE_CAPACITY/LESSON_VERSIONING,3,"Flags off = existing flows unchanged; VIEW returns same as courseDepartmentSettings"
Story,COURSE-2 - getCourses capacity + enrolledCount,"Modify src/actions/courses.ts:getCourses to LEFT JOIN enrollments COUNT and return capacity/enrolledCount. Keep HOD scoping.",COURSE-FOUNDATION,High,Course,COURSE_CAPACITY,2,"getCourses still returns array for HOD/admin, new fields optional"
Story,COURSE-3 - Admin wizard capacity input,"Update src/app/admin/courses/page.tsx step2: Capacity input per dept/level/sem + enrolled/capacity badge. Behind COURSE_CAPACITY flag.",COURSE-FOUNDATION,Medium,Course,COURSE_CAPACITY,3,"When flag off, UI hides capacity, no regression"
Story,COURSE-4 - Prerequisite visual DAG (read-only), "Add src/components/courses/PrerequisiteGraph.tsx + mount in result-module/courses behind PREREQ_GRAPH. Read coursePrerequisites, no write.",COURSE-FOUNDATION,Medium,Course,PREREQ_GRAPH,2,"Graph shows prereq→course, no DB write, existing list still works"
Story,COURSE-5 - Registration capacity + timetable clash,"Update src/services/CourseRegistrationService.ts:getAvailableCourses to filter capacity (enrolled < capacity) and check timetableSlots day+startTime clash vs already registered.",COURSE-FOUNDATION,High,Registration,COURSE_CAPACITY,5,"Registration fails late with clear message if capacity/clash, else succeeds"
Story,COURSE-6 - Early prerequisite check,"Move prerequisite check to start of submitCourseRegistrationAction (src/actions/course-registration.ts) and return failedPrerequisites immediately.",COURSE-FOUNDATION,Medium,Registration,,2,"Prereq fail returns before level check"
Epic,LMS / Learning,"Lesson versioning, SCORM, video watch %, plagiarism, peer review, waitlist, time-on-task",LMS-LEARNING,High,LMS,,,
Story,LMS-1 - Lesson versioning + SCORM,"Add Versions tab to staff/courses/[courseId]/editor + src/actions/lms.ts: versions array, Restore, SCORM contentUrl via pipwerks/scorm, completion->studentProgress SCORM status",LMS-LEARNING,High,LMS,LESSON_VERSIONING,5,"Version restore works, SCORM score saved"
Story,LMS-2 - studentProgress time + watch %,"Alter src/db/schema.ts: studentProgress add timeSpentSeconds, videoWatchPercent, lastPosition (nullable).",LMS-LEARNING,Medium,LMS,,2,"Existing progress still isCompleted boolean"
Story,LMS-3 - Video progress tracking,"Update src/app/student/courses/[courseId]/player/page.tsx onVideoProgress -> UPDATE studentProgress timeSpent/watchPercent (Vimeo/YouTube)",LMS-LEARNING,Medium,LMS,,3,"Watch % persists on refresh"
Story,LMS-4 - Assignment plagiarism + rubric + peer/group,"Update src/services/AssignmentService.ts: Copyleaks auto plagiarismScore, rubric weight SUM=100% validator, new tables assignmentGroups/peerReviews",LMS-LEARNING,Medium,Assignment,,5,"Plagiarism score appears, peer review flow"
Story,LMS-5 - Waitlist + auto-promote,"Add enrollments.status='waitlisted', CronService auto-promotes on DROP + NotificationService email. Add capacity check.",LMS-LEARNING,Medium,Registration,COURSE_CAPACITY,3,"Waitlist visible, auto-promote works"
Epic,CBT / Assessment Unification,"Unify quizzes/cbtQuizzes into unifiedExams, intelligent bank, proctoring, CA weight validator",CBT-ASSESSMENT,High,CBT,,,
Story,CBT-1 - cbtQuizzes courseId FK,"Alter src/db/schema.ts: cbtQuizzes add courseId FK nullable (backfill NULL, no break)",CBT-ASSESSMENT,High,CBT,CBT_UNIFIED,2,"Existing cbtQuizzes still work with NULL"
Story,CBT-2 - Migration script unifiedExams,"Create src/services/migration/unifyCbt.ts: INSERT INTO unifiedExams SELECT FROM quizzes + bankQuestions <- quizQuestions + unifiedExamAttempts <- quizAttempts (only when flag on, not auto-run)",CBT-ASSESSMENT,High,CBT,CBT_UNIFIED,5,"Dry-run shows counts, no data loss"
Story,CBT-3 - Unified Assessments tab,"Create src/app/staff/courses/[courseId]/assessments/page.tsx tab Assignments | Unified Exams (getAdapter) + UnifiedBanner",CBT-ASSESSMENT,Medium,CBT,CBT_UNIFIED,3,"Tab shows both, legacy still readable"
Story,CBT-4 - Intelligent bank difficulty,"Update src/actions/unified-exam.ts: drawCount per easy/medium/hard 30/50/20 + discriminationIndex calc + usageCount, add bankQuestions.difficultyLevel/tags",CBT-ASSESSMENT,Medium,CBT,,3,"Random draw respects distribution"
Story,CBT-5 - CA weight validator + pie,"Update src/app/staff/courses/[courseId]/gradebook/page.tsx + src/actions/course-gradebook.ts: Σ gradingConfigurations weights must be 100% ±1% else block publish + pie chart",CBT-ASSESSMENT,Medium,Gradebook,,2,"Publish blocked if not 100%"
Story,CBT-6 - Keep legacy quiz/cbt working behind flag,"Wrap src/actions/quiz.ts + cbt.ts save/start/submit: if isFeatureEnabled(CBT_UNIFIED) && courseId redirect to unifiedExam else legacy",CBT-ASSESSMENT,High,CBT,CBT_UNIFIED,3,"Flag off = legacy 100% unchanged"
Epic,Analytics & Offline,"At-risk, AI tutor, offline sync, QA",ANALYTICS-OFFLINE,Medium,Analytics,,,
Story,AN-1 - At-risk analytics,"Update src/app/admin/analytics/page.tsx: at-risk = timeSpent <30% avg AND grade F",ANALYTICS-OFFLINE,Medium,Analytics,,2,"Shows at-risk list"
Story,AN-2 - Course AI tutor (RAG),"Create src/app/student/courses/[courseId]/tutor/page.tsx: RAG over lessonNotes.contentBody + rubrics, next lesson suggestion via studentProgress gaps",ANALYTICS-OFFLINE,Medium,AI,,5,"Tutor answers from course docs"
Story,AN-3 - Offline sync SW,"Add public/sw.js cache courseLessons offline, queue assignmentSubmissions, sync on reconnect",ANALYTICS-OFFLINE,Medium,Offline,,3,"Offline submit syncs"
